Agency,URL,Title,Description,Modified,Identifier,Access,Periodicity,License
Consumer Finance,http://data.consumerfinance.gov/api/views/x94z-ydhh.json,Consumer Complaint Database,These are complaints we’ve received about financial products and services.,2013-11-06,CCDB,public,R/P1D,
Consumer Finance,https://api.consumerfinance.gov/data/hmda/slice/hmda_lar.json,Home Mortgage Disclosure Act Data for the years 2007-2013,"The Home Mortgage Disclosure Act (HMDA) requires many financial institutions to maintain, report, and publicly disclose information about mortgages",2014-09-22,hmda_lar,public,R/P1Y,
US AID,http://aiddata.org/use-aiddatas-api,AidData,"AidData is a research and innovation lab making information on development finance more accessible and actionable. Tracking more than $6 trillion dollars from 90+ donor agencies, AidData undertakes cutting-edge research on aid distribution and impact, geocodes and crowdsources aid information, and develops applications and custom data solutions for diverse stakeholders. The AidData team works with a wide range of partner organizations to collect, visualize, and analyze development finance for more effective development policy, practice, and research.",2015-01-09,49fc4b3c-c556-4552-8551-797c1a84c83c,public,,http://www.usaid.gov/data/license-data-created-usaid-partners
US AID,http://api.dhsprogram.com,DHS STATCompiler,The DHS Program STATcompiler allows users to make custom tables based on hundreds of demographic and health indicators across more than 70 countries.,2013-11-21,62a927d0-74e7-4802-96c2-90e78c85608c,public,,http://www.usaid.gov/data/license-data-created-usaid-partners
US AID,http://www.usaid.gov/developer/development-experience-clearinghouse-dec-api,Development Experience Clearinghouse (DEC),"The DEC is a publicly available document repository for over 160,000 technical and programmatic documents related to USAID programming that is managed by USAID's Knowledge Services Center in the CIO. Users can search and view the majority of documents that are submitted by both implementing partners and USAID staff.",2013-11-26,dd4fe488-3c50-4d57-92f7-48a4e6578069,public,,http://www.usaid.gov/data/license-data-created-agency
US AID,http://explore.data.gov/resource/7swc-ittd.json,Development Credit Authority (DCA) Data Set: Loan Transactions,"USAID's Development Credit Authority (DCA) works with investors, local financial institutions, and development organizations to design and deliver investment alternatives that unlock financing for U.S. Government priorities. USAID guarantees encourage private lenders to extend financing to underserved borrowers in new sectors and regions. This dataset is the complete list of all private loans made under USAID's DCA since it was established in 1999. To protect the personal information of borrowers and bank partners, all strategic and personal identifiable information was removed.",2012-06-25,854d1b81-a517-4966-957c-5428fb4c1821,public,,http://www.usaid.gov/data/license-data-created-agency
US AID,http://labs.data.gov/databeam/stephaniefaith/utilization-and-claims,Development Credit Authority (DCA) Data Set: Guarantee Utilization and Claims,"USAID's Development Credit Authority (DCA) works with investors, local financial institutions, and development organizations to design and deliver investment alternatives that unlock financing for U.S. Government priorities. Whether it's getting working capital to promising entrepreneurs or input financing to small farmers, DCA seeks to prove the commercial viability of underserved markets so that lending and investment continues long after we exit. The Development Credit Authority (DCA) uses partial credit guarantees to mobilize local financing in developing countries. Guarantee agreements encourage private lenders to extend financing to underserved borrowers in new sectors and regions. By opening up local channels of financing, USAID is empowering entrepreneurs in developing countries at a minimal cost to the U.S. taxpayer. This USAID dataset shows the partial credit guarantees that USAID has issued since the development credit authority program was founded in 1999. The spreadsheet reflects the full facility size of each guarantee, how much was lent under the guarantee, the status of the guarantee (i.e., active or expired), how much in claims the bank submitted due to losses it incurred for loans placed under the guarantee, and how many loans were placed under coverage of the guarantee. The data also shows the sector and country for each guarantee.",2012-06-25,31fbe412-d87a-41b1-bf62-259895057f79,public,,http://www.usaid.gov/data/license-data-created-agency
SBA,http://dsbs.sba.gov/dsbs/search/dsp_dsbs.cfm,Dynamic Small Business Search (DSBS),"DSBS is a search tool that accesses information pooled from internal HubZone, 8(a) and SDB offices as well as the external Central Contractor Registration system (CCR)/System for Award Management (SAM). This system is used by small businesses to increase their visibility to government and business procurement offices searching for small businesses to meet small business contracting goals.",2013-12-12,SBA-GCDB-2013-11-001,public,,http://www.usa.gov/publicdomain/label/1.0/
SBA,http://api.sba.gov/doc/rec_sites.html#all,"Recommended federal, state and local websites","The Recommended Sites data set includes links to federal, state and local websites that are boosted to the top of organic search results for long-tail queries to improve the relevancy of web search results. Recommend Sites are editorially reviewed by humans on the SBA.gov team, and represent the best resources when an individual is seeking information on a particular keyword.",2013-12-12,SBA-OCIO-2015-02-016,public,,http://www.usa.gov/publicdomain/label/1.0/
SBA,http://api.sba.gov/doc/rec_sites.html#keyword,Recommended Sites by Keyword,"The Recommended Sites data set includes links to federal, state and local websites that are boosted to the top of organic search results for long-tail queries to improve the relevancy of web search results when an individual is seeking information on a particular keyword",2013-12-12,SBA-OCIO-2015-02-015,public,,http://www.usa.gov/publicdomain/label/1.0/
SSA,http://www.socialsecurity.gov/developer/api/HearingOfficeAverageProcessingTime,Hearing Office Average Processing Time Ranking Report,A ranking of ODAR hearing offices by the average number of days until final disposition of the hearing request. The average shown will be a combined average for all cases completed in that hearing office. Users will be able determine where a particular hearing office stands among the total with respect to this workload category.,2014-10-09,US-GOV-SSA-302,public,,http://creativecommons.org/publicdomain/zero/1.0/
SSA,http://www.socialsecurity.gov/developer/api/HearingOfficeWorkloadData,Hearing Office Workload Data,"A presentation of four key workload indicators (pending, receipts, dispositions and average processing time) for each hearing office in the Office of Disability Adjudication and Review (ODAR).",2014-10-09,US-GOV-SSA-303,public,,http://creativecommons.org/publicdomain/zero/1.0/
SSA,http://www.socialsecurity.gov/developer/api/HearingOfficeTimeUntilHearingHeld,Average Wait Time Until Hearing Held Report (formerly NETSTAT Report),A presentation of the average time (in months) from the hearing request date until a hearing is held for claims pending in the Office of Disability Adjudication and Review's hearing offices. Allows users to estimate the amount of time they may have to wait for a hearing to be held.,2014-10-09,US-GOV-SSA-304,public,,http://creativecommons.org/publicdomain/zero/1.0/
GSA,http://jobcenter.usa.gov/apis,American Job Center Resource API,American Job Center partners with O'Net to provide a variety of APIs useful for jobseekers.,2014-09-04,GSA - 138668,public,R/P1Y,
GSA,http://business.usa.gov/apis,Auction Sale Data,"This dataset contains sale data information for Agency reported items sold via GSA Auctions&reg; Sales. The data is for closed sales during FY2009. GSA Auctions&reg; offers the public the opportunity to bid electronically on a wide array of Federal assets. The auctions are completely web-enabled, allowing all registered participants to bid on a single item or multiple items (lots) within specified timeframes. GSA Auctions&reg; sale items include communications, computer, electric, electronic, agricultural, office, photographic, marine, laboratory, medical, dental and veterinary supplies and equipment; trailers, tractors, bicycles and salvage/scrap vehicles; furniture, household and personal items, industrial machinery, jewelry and collectibles. GSA Auctions&reg; is accessible at http://www.gsaauctions.gov. Unregistered users may browse the site. Registration is required for bidders.",2015-01-27,GSA-4145,public,R/P1Y,
GSA,http://www.usa.gov/About/developer-resources/social-media-registry.shtml#tags,Citizen Topics API,This API lists the topics that we use to organize content on USA.gov. You can access it via the /tags call to the Social Media Registry.,2014-09-04,GSA - 138670,public,R/PT1S,
GSA,https://inventory.data.gov/dataset/city-pair-program/resource/02c2b1c6-a42d-4a10-9e8b-9cf06e54a82b,City Pair Program API,This API access to City Pair Program FY15 Award data,2015-02-11,GSA - 155327,public,R/P1Y,
GSA,http://www.usa.gov/About/developer-resources/corporation-contact-directory/index.shtml,Corporate Consumer Contact API,"The data in the Corporate Consumer Contact API is based on the content you can find in the Corporate Consumer Contact listing in the Consumer Action Handbook (PDF). We gather this data manually, as it can sometimes be difficult for consumers to find out how they can contact a corporation. As this is a consumer focused dataset, corporations included in the API are corporations that directly interact with consumers.",2015-01-15,GSA - 139632,public,R/P1Y,
GSA,http://search.digitalgov.gov/manual/api.html,Data.gov Daily Visitor Statistics - Archival,This dataset provides distribution of daily visitors to the Data.gov site up to 2013.,2015-01-27,GSA-32441,public,R/P1D,
GSA,http://docs.fbopen.apiary.io/,Data.gov Dataset Monthly Download Trends - Archival,"This dataset provies the trend of downloads in Data.gov up to 2013. These numbers represent the number of times a user has clicked on the ""XML"" or ""CSV"" (for example) links in the catalog.",2015-01-27,GSA-32421,public,R/P1M,
GSA,https://www.fbo.gov/?s=generalinfo&mode=list&tab=list&tabmode=list&static=documentation,FedBizOpps Documentation,"In addition to the ability to interact directly with FedBizOpps using its on-line web interface, the service supports Web Services for Federal buyers to post information to the database using their agencys electronic procurement system",2014-09-04,GSA - 138672,public,R/PT1S,
GSA,https://go.usa.gov/api/,Go.USA.gov URL Shortner API,"The Go.USA.gov REST API allows you interact with Go.USA.gov by shortening URLs, previewing long urls, and getting the number of clicks to a Go.USA.gov URL.. An API key is required and available to any registered Go.USA.gov user.",2014-09-04,GSA-2014-02-14-1,public,,
Treasury,http://www.treasurydirect.gov/instit/annceresult/annceresult_query.htm,Auction Query Page,Query for U.S. Treasury marketable securities data.,2015-04-13,015-BFS-2014Q4-004,public,R/P1D,
Treasury,http://www.treasurydirect.gov/instit/instit.htm,Auction Results,"Auction results data displays the latest auction results for U.S. Treasury marketable securities including term, type, CMB/Reopening, CUSIP, issue date, high yield, rate, or discount margin, investment rate/spread, and price per $100.",2015-04-13,015-BFS-2014Q4-002,public,irregular,
Treasury,http://www.treasurydirect.gov/NP/debt/current,Debt to the Penny,Total public debt to the penny reported daily,2015-04-10,015-BFS-2014Q3-065,public,R/P1D,
Treasury,http://www.treasurydirect.gov/instit/annceresult/press/press_auctionresults.htm,Today's Auction Results,"Today's Auction Results displays U.S. Treasury marketable securities Noncompetitive Results, Competitive Results, and Announcements and Results by Auction Year.",2015-04-13,015-BFS-2014Q4-001,public,R/P1D,
Treasury,http://www.treasurydirect.gov/instit/instit.htm?upcoming,Upcoming Auctions,"Upcoming auction data displays announcement data for U.S. Treasury marketable securities including term, type, CMB/Reopening, CUSIP, offering amount, auction date, and issue date.",2015-04-13,015-BFS-2014Q4-003,public,irregular,
Archives,https://www.federalregister.gov/developers/api/v1,FederalRegister.gov and Public API,Website and public API containing the daily Federal Register.,R/P1D,FEDREG,public,,
Archives,https://catalog.archives.gov/api/v1/,National Archives Catalog and Public API,"The National Archives Catalog is the online catalog of NARA's nationwide holdings in the Washington, DC area, Regional Archives, and Presidential Libraries.",R/P1W,NARA-4794,public,R/P1W,
Archives,http://www.usa.gov/About/developer-resources/social-media-registry.shtml,Social Media Channels and Statistics at the National Archives,More than 100 social media channels and statistics for the National Archives and Records Administration.,2013-12-15,SOCMED,public,,
