Agency,Title,URL,Identifier,Access
Archives,FederalRegister.gov and Public API,https://www.federalregister.gov/developers/api/v1,FEDREG,public
Archives,National Archives Catalog and Public API,https://catalog.archives.gov/api/v1/,NARA-4794,public
Archives,Social Media Channels and Statistics at the National Archives,http://www.usa.gov/About/developer-resources/social-media-registry.shtml,SOCMED,public
Commerce,"National Accounts - Personal Income, Advanced Download Section",http://www.bea.gov/api/signup/index.cfm,http://www.bea.gov/national/nipaweb/downss2.asp,public
Commerce,International Accounts,http://www.bea.gov/iTable/bp_download_modern.cfm?pid=1,http://www.bea.gov/iTable/bp_download_modern.cfm?pid=1,public
Commerce,Industry Accounts - Annual Industry,http://www.bea.gov/industry/gdpbyind_data.htm,http://www.bea.gov/industry/gdpbyind_data.htm,public
Commerce,Industry Accounts - Annual Input-Output,http://www.bea.gov/industry/io_annual.htm,http://www.bea.gov/industry/io_annual.htm,public
Commerce,Public Data Listing,http://www.bea.gov/data.htm,http://www.bea.gov/data.htm,public
Consumer Finance,Consumer Complaint Database,http://data.consumerfinance.gov/api/views/x94z-ydhh.json,CCDB,public
Consumer Finance,Home Mortgage Disclosure Act Data for the years 2007-2013,https://api.consumerfinance.gov/data/hmda/slice/hmda_lar.json,hmda_lar,public
DOI,Volcanogenic massive sulfide deposits of the world: Database and grade and tonnage models,http://mrdata.usgs.gov/services/vms?request=getcapabilities&service=WMS&version=1.0.0&,030f25ce-7d73-4e6b-84ea-cc0aabf09668,public
DOI,Protected Areas Database of the United States (PADUS) - Combined: Version 1.3,http://gis1.usgs.gov/arcgis/rest/services/gap/PADUS_Owner/MapServer,0452dbf6-60fa-4c21-9552-f1b0bcacdbbc,public
DOI,U.S. Fish and Wildlife Service Regional Boundaries Map Services,http://gis.fws.gov/ArcGIS/rest/services/FWS_Regional_Boundaries/MapServer,087903ed-4d66-487a-a5b1-22dc3391479b,public
DOI,Geologic map of the State of Hawaii,http://mrdata.usgs.gov/services/hi?request=getcapabilities&service=WMS&version=1.1.1&,1028eec8-fd06-4db2-a5fe-150c3f9be4db,public
DOI,REA NGB EPA 303(d) Streams,http://watersgeo.epa.gov/ArcGIS/rest/services/OWRAD/ALL_OWRAD_NAD83/MapServer/,1f8ae74f-a67a-4714-a503-f3069f2a9151,public
DOI,REA NGB MRDS Mineral Resources in the Northern Great Basin,http://mrdata.usgs.gov/services/mrds?request=getcapabilities&service=WFS&version=1.0.0&,24c8e381-8942-4f76-86e0-96c3a1217567,public
DOI,Geochemistry of rock samples from the National Geochemical Database,http://mrdata.usgs.gov/services/ngdbrock?request=getcapabilities&service=WMS&version=1.1.1&,356b5203-7f48-4877-a62c-ac640264ea59,public
DOI,Produced and Seep Oil along the California Coastline,http://webqa.coast.noaa.gov/arcgis/rest/services/geoESPIS/CaliforniaGeologicOil/MapServer,421cb245-1dec-4153-b287-1078e00685b1,public
DOI,"Alaska Geochemical Database Version 2.0 (AGDB2) - Including ""Best Value"" Data Compilations for Geochemical Data for Rock, Sediment, Soil, Mineral, and Concentrate Sample Media",http://mrdata.usgs.gov/services/agdb2?request=GetCapabilities&service=WMS&version=1.1.1,43ad90e0-cb76-4ec3-ba7c-8d812bc5c2fa,public
DOI,Sediment-hosted zinc-lead deposits of the world,http://mrdata.usgs.gov/services/sedznpb?request=getcapabilities&service=WMS&version=1.1.1&,470f958a-53a2-4773-8453-68ddc19aafa5,public
DOI,Porphyry copper deposits of the world,http://mrdata.usgs.gov/services/porcu?request=getcapabilities&service=WMS&version=1.1.1&,4a427351-e223-420b-9bfb-730e8c35d92f,public
DOI,Alaska Resource Data File (ARDF),http://mrdata.usgs.gov/services/ardf?request=getcapabilities&service=WMS&version=1.1.1&,4a713cec-c544-4b59-ab84-737d1a0ebb07,public
DOI,3 arc second digital elevation model of the Gulf of Maine,http://geoport.whoi.edu/thredds/wms/bathy/gom03_v1_0?service=WMS&amp;version=1.3.0&amp;request=GetCapabilities,51efc9d6-a9da-4b09-b9e8-20c1d84b1385,public
DOI,The National Geochemical Survey - database and documentation,http://mrdata.usgs.gov/services/ngs?request=getcapabilities&service=WMS&version=1.0.0&,523a79df-bf47-4e4a-a606-c3d90d4842c3,public
DOI,Geochemical and mineralogical data for soils of the conterminous United States,http://mrdata.usgs.gov/services/ds801?service=WMS&request=getCapabilities&version=1.1.1&,55eb690a-20ba-42f6-b926-0ccb4f554867,public
